2026-06-15 15:27:20, tokens_remaining: 1825, call: scores, phase: playing
2026-06-15 15:27:21, tokens_remaining: 1824, call: scores, phase: playing
2026-06-15 15:27:23, tokens_remaining: 1823, call: scores, phase: playing
2026-06-15 15:27:24, tokens_remaining: 1821, call: events, phase: playing
2026-06-15 15:27:25, tokens_remaining: 1819, call: scores, phase: playing
2026-06-15 15:27:27, tokens_remaining: 1818, call: scores, phase: playing
2026-06-15 15:27:28, tokens_remaining: 1817, call: scores, phase: playing
2026-06-15 15:27:29, tokens_remaining: 1816, call: scores, phase: playing
2026-06-15 15:27:31, tokens_remaining: 1815, call: scores, phase: playing
2026-06-15 15:27:32, tokens_remaining: 1814, call: scores, phase: playing
2026-06-15 15:27:33, tokens_remaining: 1813, call: scores, phase: playing
2026-06-15 15:27:35, tokens_remaining: 1812, call: scores, phase: playing
2026-06-15 15:27:36, tokens_remaining: 1811, call: scores, phase: playing
2026-06-15 15:27:37, tokens_remaining: 1810, call: events, phase: playing
2026-06-15 15:27:39, tokens_remaining: 1808, call: scores, phase: playing
2026-06-15 15:27:40, tokens_remaining: 1806, call: scores, phase: playing
2026-06-15 15:27:41, tokens_remaining: 1805, call: scores, phase: playing
2026-06-15 15:27:42, tokens_remaining: 1804, call: scores, phase: playing
2026-06-15 15:27:44, tokens_remaining: 1803, call: scores, phase: playing
2026-06-15 15:27:45, tokens_remaining: 1802, call: scores, phase: playing
2026-06-15 15:27:46, tokens_remaining: 1801, call: scores, phase: playing
2026-06-15 15:27:48, tokens_remaining: 1800, call: scores, phase: playing
2026-06-15 15:27:49, tokens_remaining: 1799, call: scores, phase: playing
2026-06-15 15:27:50, tokens_remaining: 1798, call: events, phase: playing
2026-06-15 15:27:52, tokens_remaining: 1796, call: scores, phase: playing
2026-06-15 15:27:53, tokens_remaining: 1794, call: scores, phase: playing
2026-06-15 15:27:54, tokens_remaining: 1793, call: scores, phase: playing
2026-06-15 15:27:56, tokens_remaining: 1792, call: scores, phase: playing
2026-06-15 15:27:57, tokens_remaining: 1791, call: scores, phase: playing
2026-06-15 15:27:58, tokens_remaining: 1790, call: scores, phase: playing
2026-06-15 15:28:00, tokens_remaining: 1789, call: scores, phase: playing
2026-06-15 15:28:01, tokens_remaining: 1788, call: scores, phase: playing
2026-06-15 15:28:02, tokens_remaining: 1787, call: scores, phase: playing
2026-06-15 15:28:04, tokens_remaining: 1786, call: events, phase: playing
2026-06-15 15:28:05, tokens_remaining: 1784, call: scores, phase: playing
2026-06-15 15:28:06, tokens_remaining: 1782, call: scores, phase: playing
2026-06-15 15:28:07, tokens_remaining: 1781, call: scores, phase: playing
2026-06-15 15:28:09, tokens_remaining: 1780, call: scores, phase: playing
2026-06-15 15:28:10, tokens_remaining: 1779, call: scores, phase: playing
2026-06-15 15:28:11, tokens_remaining: 1778, call: scores, phase: playing
2026-06-15 15:28:13, tokens_remaining: 1777, call: scores, phase: playing
2026-06-15 15:28:14, tokens_remaining: 1776, call: scores, phase: playing
2026-06-15 15:28:15, tokens_remaining: 1775, call: scores, phase: playing
2026-06-15 15:28:17, tokens_remaining: 1773, call: events, phase: playing
2026-06-15 15:28:18, tokens_remaining: 1772, call: scores, phase: playing
2026-06-15 15:36:13, tokens_remaining: 1422, call: scores, phase: playing
2026-06-15 15:36:13, GOAL: Belgium (Belgium 1-1 Egypt)
2026-06-15 15:36:15, tokens_remaining: 1420, call: events, phase: playing
2026-06-15 15:36:15, EVENT: EVENT_15 67' Mohamed Hany (1-1) [Belgium vs Egypt]
2026-06-15 15:36:15, EVENT: SUBSTITUTION 66' Romelu Lukaku [Belgium vs Egypt]
2026-06-15 15:36:15, EVENT: SUBSTITUTION 71' Ramy Rabia [Belgium vs Egypt]
2026-06-15 15:36:16, tokens_remaining: 1419, call: scores, phase: playing
2026-06-15 15:36:17, tokens_remaining: 1419, call: scores, phase: playing
2026-06-15 15:36:18, tokens_remaining: 1417, call: scores, phase: playing
2026-06-15 15:36:18, tokens_remaining: 1417, call: scores, phase: playing
2026-06-15 15:36:19, tokens_remaining: 1416, call: scores, phase: playing
2026-06-15 15:36:20, tokens_remaining: 1416, call: scores, phase: playing
2026-06-15 15:36:21, tokens_remaining: 1415, call: scores, phase: playing
2026-06-15 15:36:22, tokens_remaining: 1415, call: scores, phase: playing
2026-06-15 15:36:23, tokens_remaining: 1414, call: scores, phase: playing
2026-06-15 15:36:24, tokens_remaining: 1413, call: events, phase: playing
2026-06-15 15:36:25, tokens_remaining: 1412, call: scores, phase: playing
2026-06-15 15:36:26, tokens_remaining: 1411, call: scores, phase: playing
2026-06-15 15:36:27, tokens_remaining: 1411, call: scores, phase: playing
2026-06-15 15:36:28, tokens_remaining: 1410, call: scores, phase: playing
2026-06-15 15:36:30, tokens_remaining: 1408, call: scores, phase: playing
2026-06-15 15:36:30, tokens_remaining: 1408, call: scores, phase: playing
2026-06-15 15:36:31, tokens_remaining: 1407, call: scores, phase: playing
