2026-06-17 00:13:15, tokens_remaining: 2060, call: scores, phase: playing
2026-06-17 00:13:16, tokens_remaining: 2059, call: scores, phase: playing
2026-06-17 00:13:17, tokens_remaining: 2059, call: scores, phase: playing
2026-06-17 00:13:19, tokens_remaining: 2058, call: scores, phase: playing
2026-06-17 00:13:19, tokens_remaining: 2058, call: scores, phase: playing
2026-06-17 00:13:21, tokens_remaining: 2057, call: scores, phase: playing
2026-06-17 00:13:22, tokens_remaining: 2057, call: scores, phase: playing
2026-06-17 00:13:23, tokens_remaining: 2056, call: scores, phase: playing
2026-06-17 00:13:24, tokens_remaining: 2055, call: events, phase: playing
2026-06-17 00:13:25, tokens_remaining: 2054, call: scores, phase: playing
2026-06-17 00:13:26, tokens_remaining: 2054, call: scores, phase: playing
2026-06-17 00:13:27, tokens_remaining: 2053, call: scores, phase: playing
2026-06-17 00:13:28, tokens_remaining: 2053, call: scores, phase: playing
2026-06-17 00:13:30, tokens_remaining: 2052, call: scores, phase: playing
2026-06-17 00:13:31, tokens_remaining: 2052, call: scores, phase: playing
2026-06-17 00:13:32, tokens_remaining: 2051, call: scores, phase: playing
2026-06-17 00:13:33, tokens_remaining: 2051, call: scores, phase: playing
2026-06-17 00:13:34, tokens_remaining: 2050, call: scores, phase: playing
2026-06-17 00:13:35, tokens_remaining: 2049, call: events, phase: playing
2026-06-17 00:13:36, tokens_remaining: 2048, call: scores, phase: playing
2026-06-17 00:13:37, tokens_remaining: 2048, call: scores, phase: playing
2026-06-17 00:13:38, tokens_remaining: 2047, call: scores, phase: playing
2026-06-17 00:13:39, tokens_remaining: 2047, call: scores, phase: playing
2026-06-17 00:13:41, tokens_remaining: 2046, call: scores, phase: playing
2026-06-17 00:13:42, tokens_remaining: 2046, call: scores, phase: playing
2026-06-17 00:13:43, tokens_remaining: 2045, call: scores, phase: playing
2026-06-17 00:13:44, tokens_remaining: 2045, call: scores, phase: playing
2026-06-17 00:13:45, tokens_remaining: 2044, call: scores, phase: playing
2026-06-17 00:13:46, tokens_remaining: 2043, call: events, phase: playing
2026-06-17 00:13:47, tokens_remaining: 2042, call: scores, phase: playing
2026-06-17 00:13:48, tokens_remaining: 2042, call: scores, phase: playing
2026-06-17 00:13:50, tokens_remaining: 2041, call: scores, phase: playing
2026-06-17 00:13:50, tokens_remaining: 2041, call: scores, phase: playing
2026-06-17 00:13:52, tokens_remaining: 2040, call: scores, phase: playing
2026-06-17 00:13:53, tokens_remaining: 2040, call: scores, phase: playing
2026-06-17 00:13:54, tokens_remaining: 2039, call: scores, phase: playing
2026-06-17 00:13:55, tokens_remaining: 2039, call: scores, phase: playing
2026-06-17 00:13:56, tokens_remaining: 2038, call: scores, phase: playing
2026-06-17 00:13:57, tokens_remaining: 2037, call: events, phase: playing
2026-06-17 00:13:58, tokens_remaining: 2036, call: scores, phase: playing
2026-06-17 00:13:59, tokens_remaining: 2036, call: scores, phase: playing
2026-06-17 00:14:01, tokens_remaining: 2035, call: scores, phase: playing
2026-06-17 00:14:02, tokens_remaining: 2035, call: scores, phase: playing
2026-06-17 00:14:03, tokens_remaining: 2034, call: scores, phase: playing
2026-06-17 00:14:04, tokens_remaining: 2034, call: scores, phase: playing
2026-06-17 00:14:05, tokens_remaining: 2033, call: scores, phase: playing
2026-06-17 00:14:06, tokens_remaining: 2033, call: scores, phase: playing
2026-06-17 00:14:07, tokens_remaining: 2032, call: scores, phase: playing
2026-06-17 00:14:08, tokens_remaining: 2031, call: events, phase: playing
2026-06-17 00:14:09, tokens_remaining: 2030, call: scores, phase: playing
2026-06-17 00:14:10, tokens_remaining: 2030, call: scores, phase: playing
2026-06-17 00:14:12, tokens_remaining: 2029, call: scores, phase: playing
2026-06-17 00:14:12, tokens_remaining: 2029, call: scores, phase: playing
