2026-06-16 15:11:57, tokens_remaining: 1934, call: scores, phase: playing
2026-06-16 15:11:58, tokens_remaining: 1933, call: scores, phase: playing
2026-06-16 15:12:00, tokens_remaining: 1932, call: scores, phase: playing
2026-06-16 15:12:01, tokens_remaining: 1931, call: scores, phase: playing
2026-06-16 15:12:02, tokens_remaining: 1930, call: events, phase: playing
2026-06-16 15:12:04, tokens_remaining: 1929, call: scores, phase: playing
2026-06-16 15:12:05, tokens_remaining: 1928, call: scores, phase: playing
2026-06-16 15:12:06, tokens_remaining: 1927, call: scores, phase: playing
2026-06-16 15:12:07, tokens_remaining: 1926, call: scores, phase: playing
2026-06-16 15:12:09, tokens_remaining: 1925, call: scores, phase: playing
2026-06-16 15:12:10, tokens_remaining: 1924, call: scores, phase: playing
2026-06-16 15:12:11, tokens_remaining: 1923, call: scores, phase: playing
2026-06-16 15:12:13, tokens_remaining: 1922, call: scores, phase: playing
2026-06-16 15:12:14, tokens_remaining: 1921, call: scores, phase: playing
2026-06-16 15:12:15, tokens_remaining: 1920, call: events, phase: playing
2026-06-16 15:12:17, tokens_remaining: 1919, call: scores, phase: playing
2026-06-16 15:12:18, tokens_remaining: 1918, call: scores, phase: playing
2026-06-16 15:12:19, tokens_remaining: 1917, call: scores, phase: playing
2026-06-16 15:12:21, tokens_remaining: 1916, call: scores, phase: playing
2026-06-16 15:12:22, tokens_remaining: 1915, call: scores, phase: playing
2026-06-16 15:12:23, tokens_remaining: 1914, call: scores, phase: playing
2026-06-16 15:12:24, tokens_remaining: 1913, call: scores, phase: playing
2026-06-16 15:12:26, tokens_remaining: 1912, call: scores, phase: playing
2026-06-16 15:12:27, tokens_remaining: 1911, call: scores, phase: playing
2026-06-16 15:12:28, tokens_remaining: 1910, call: events, phase: playing
2026-06-16 15:12:30, tokens_remaining: 1909, call: scores, phase: playing
2026-06-16 15:12:31, tokens_remaining: 1908, call: scores, phase: playing
2026-06-16 15:12:32, tokens_remaining: 1907, call: scores, phase: playing
2026-06-16 15:12:34, tokens_remaining: 1906, call: scores, phase: playing
